company_name,updated_time,company_profile,cgpa,courses,dept_eligible,ctc_btech,base_btech,ctc_idd,base_idd,location,currency,profile,company_profile_list,dept_eligible_list,courses_list,location_list,date_parts,month,date,year,ctc_range,ctc_btech_range,base_btech_range
Acies Consulting,"Oct. 13, 2024, 11:59 a.m.","Business Analyst, Business Process Analyst",7.0,"btech, idd","apd, bce, bme, cer, che, chy, civ, cse, ece, eee, mat, mec, met, min, mst, phe, phy",1200000.0,800000.0,,,"Goa, Mumbai",INR,Business/Product Analyst,"['business analyst', 'business process analyst']","['apd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'ece', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']","['btech', 'idd']","['Goa', 'Mumbai']","['Oct', '13', '2024']",Oct,13,2024,10-20 LPA,10-20 LPA,< 10 LPA
Pentair Water India,"Oct. 14, 2024, 11:01 p.m.","Trainee Associate Engineer, Water Chemistry Lab",7.0,"btech, idd","che, chy, mst",950000.0,850310.0,1050000.0,939816.0,Noida,INR,Core_Engineering,"['trainee associate engineer', 'water chemistry lab']","['che', 'chy', 'mst']","['btech', 'idd']",['Noida'],"['Oct', '14', '2024']",Oct,14,2024,< 10 LPA,< 10 LPA,< 10 LPA
Lummus Technology Heat Transfer Bv,"Oct. 17, 2024, 4:54 p.m.",Process Engineer,7.0,btech,che,1200000.0,850000.0,,,Gurgaon,INR,Core_Engineering,['process engineer'],['che'],['btech'],['Gurgaon'],"['Oct', '17', '2024']",Oct,17,2024,10-20 LPA,10-20 LPA,< 10 LPA
Data Patterns,"Oct. 21, 2024, 3:21 p.m.",Graduate Engineer Trainee- HDD/ MDD,6.5,idd,"ece, eee, mec",,,1000000.0,1000000.0,,INR,Core_Engineering,['graduate engineer trainee- hdd/ mdd'],"['ece', 'eee', 'mec']",['idd'],[],"['Oct', '21', '2024']",Oct,21,2024,,,
Dayananda Sagar University,"Oct. 24, 2024, 11:30 a.m.",Assistant Professor,6.0,idd,"chy, cse, eee, mec, mst, phe, phy",,,1200000.0,1000000.0,BENGALURU,INR,Teaching/Academic,['assistant professor'],"['chy', 'cse', 'eee', 'mec', 'mst', 'phe', 'phy']",['idd'],['BENGALURU'],"['Oct', '24', '2024']",Oct,24,2024,,,
Tata Advanced Systems Limited,"Oct. 28, 2024, 5:13 p.m.",Post Graduate Engineer Trainee MEC,6.0,idd,mec,,,800000.0,722793.0,"Hyderabad, Bangalore, Nagpur",INR,Core_Engineering,['post graduate engineer trainee mec'],['mec'],['idd'],"['Hyderabad', 'Bangalore', 'Nagpur']","['Oct', '28', '2024']",Oct,28,2024,,,
Tata Advanced Systems Limited,"Oct. 28, 2024, 5:14 p.m.",Post Graduate Engineer Trainee EE-ECE,6.0,idd,"ece, eee",,,800000.0,722793.0,"Hyderabad, Bangalore, Nagpur",INR,Core_Engineering,['post graduate engineer trainee ee-ece'],"['ece', 'eee']",['idd'],"['Hyderabad', 'Bangalore', 'Nagpur']","['Oct', '28', '2024']",Oct,28,2024,,,
Anakin Skywalker Pvt Ltd,"Nov. 1, 2024, 6:56 p.m.",Business Analyst,0.0,"btech, idd","apd, bce, bme, cer, che, chy, civ, cse, ece, eee, mat, mec, met, min, mst, phe, phy",1200000.0,1200000.0,1200000.0,1200000.0,Bangalore,INR,Business/Product Analyst,['business analyst'],"['apd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'ece', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']","['btech', 'idd']",['Bangalore'],"['Nov', '1', '2024']",Nov,1,2024,10-20 LPA,10-20 LPA,10-20 LPA
Labellerr,"Nov. 4, 2024, 2:18 p.m.","Full stack software developer, AI Engineer",7.0,"btech, idd","apd, bce, bme, cer, che, chy, civ, cse, ece, eee, mat, mec, met, min, mst, phe, phy",1100000.0,900000.0,1100000.0,900000.0,Chandigarh,INR,Software/Quant Developer,"['full stack software developer', 'ai engineer']","['apd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'ece', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']","['btech', 'idd']",['Chandigarh'],"['Nov', '4', '2024']",Nov,4,2024,10-20 LPA,10-20 LPA,< 10 LPA
Reliance Industries Limited,"Nov. 5, 2024, 6:05 p.m.",Graduate Engineer Trainee,6.0,btech,"che, civ, cse, ece, eee, mec, met",950000.0,950000.0,,,India,INR,Core_Engineering,['graduate engineer trainee'],"['che', 'civ', 'cse', 'ece', 'eee', 'mec', 'met']",['btech'],['India'],"['Nov', '5', '2024']",Nov,5,2024,< 10 LPA,< 10 LPA,< 10 LPA
Cobblestone Energy Limited,"Nov. 6, 2024, 5:54 p.m.","Junior Trader - Dubai, UAE",0.0,"btech, idd","apd, bce, bme, cer, che, chy, civ, cse, dse, ece, eee, hss, mat, mec, met, min, mst, phe, phy",60000.0,59999.0,60000.0,60000.0,"Dubai, UAE",USD,Other,"['junior trader - dubai', 'uae']","['apd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'dse', 'ece', 'eee', 'hss', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']","['btech', 'idd']","['Dubai', 'UAE']","['Nov', '6', '2024']",Nov,6,2024,< 10 LPA,< 10 LPA,< 10 LPA
Cobblestone Energy Limited,"Nov. 6, 2024, 5:54 p.m.",Graduate Software Engineer,0.0,btech,"cse, ece, eee",55000.0,55000.0,,,"Dubai, UAE",USD,Software/Quant Developer,['graduate software engineer'],"['cse', 'ece', 'eee']",['btech'],"['Dubai', 'UAE']","['Nov', '6', '2024']",Nov,6,2024,< 10 LPA,< 10 LPA,< 10 LPA
Volvo Eicher Commercial Vehicle,"Nov. 7, 2024, 12:50 p.m.",PGET,6.0,idd,"cer, eee, mec, met, min, mst",,,1000000.0,825000.0,PAN India,INR,Core_Engineering,['pget'],"['cer', 'eee', 'mec', 'met', 'min', 'mst']",['idd'],['PAN India'],"['Nov', '7', '2024']",Nov,7,2024,,,
Sirionlabs,"Nov. 7, 2024, 2:37 p.m.",Associate Software Engineer,0.0,btech,"che, civ, cse, ece, eee, mec, met, min",1500000.0,1360000.0,,,Gurgain,INR,Software/Quant Developer,['associate software engineer'],"['che', 'civ', 'cse', 'ece', 'eee', 'mec', 'met', 'min']",['btech'],['Gurgain'],"['Nov', '7', '2024']",Nov,7,2024,10-20 LPA,10-20 LPA,10-20 LPA
Evalueserve,"Nov. 7, 2024, 11:11 p.m.","Analyst – Risk & Quants, Analyst ( I&A)",7.0,"btech, idd","[['btech', 'cer', 'che', 'civ', 'cse', 'ece', 'eee', 'mec', 'met', 'min', 'phe'], ['idd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'ece', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']]",1000000.0,1000000.0,,,Gurgaon,INR,Business/Product Analyst,"['analyst – risk & quants', 'analyst ( i&a)']","[""[['btech'"", ""'cer'"", ""'che'"", ""'civ'"", ""'cse'"", ""'ece'"", ""'eee'"", ""'mec'"", ""'met'"", ""'min'"", ""'phe']"", ""['idd'"", ""'bce'"", ""'bme'"", ""'cer'"", ""'che'"", ""'chy'"", ""'civ'"", ""'cse'"", ""'ece'"", ""'eee'"", ""'mat'"", ""'mec'"", ""'met'"", ""'min'"", ""'mst'"", ""'phe'"", ""'phy']]""]","['btech', 'idd']",['Gurgaon'],"['Nov', '7', '2024']",Nov,7,2024,10-20 LPA,10-20 LPA,10-20 LPA
Flowserve,"Nov. 8, 2024, 1:41 p.m.",GET Engineer,6.5,"btech, idd",mec,1500000.0,,1500000.0,,Banglore,INR,Core_Engineering,['get engineer'],['mec'],"['btech', 'idd']",['Banglore'],"['Nov', '8', '2024']",Nov,8,2024,10-20 LPA,10-20 LPA,
Auroville Investment Management,"Nov. 9, 2024, 10:47 a.m.",,0.0,"btech, idd","apd, bce, bme, cer, che, chy, civ, cse, dse, ece, eee, mat, mec, met, min, mst, phe, phy",1500000.0,1350000.0,1500000.0,1350000.0,Delhi,INR,Other,[],"['apd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'dse', 'ece', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']","['btech', 'idd']",['Delhi'],"['Nov', '9', '2024']",Nov,9,2024,10-20 LPA,10-20 LPA,10-20 LPA
Fischerjordan,"Nov. 14, 2024, 5:26 p.m.",Data Analyst,7.5,"btech, idd","apd, bce, bme, cer, che, chy, civ, cse, dse, ece, eee, mat, mec, met, min, mst, phe, phy",2230000.0,1400000.0,2350000.0,1500000.0,Remote,INR,Data Science/AI,['data analyst'],"['apd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'dse', 'ece', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']","['btech', 'idd']",['Remote'],"['Nov', '14', '2024']",Nov,14,2024,20-30 LPA,20-30 LPA,10-20 LPA
Cdot,"Nov. 14, 2024, 5:57 p.m.",Scientist B,7.0,btech,"cse, ece, mec",2100000.0,1686956.0,,,Delhi/Bangalore,INR,Core_Engineering,['scientist b'],"['cse', 'ece', 'mec']",['btech'],['Delhi/Bangalore'],"['Nov', '14', '2024']",Nov,14,2024,20-30 LPA,20-30 LPA,10-20 LPA
Fischerjordan,"Nov. 15, 2024, 7:55 p.m.","Software Engineer Backend, Software Engineer Frontend",8.0,"btech, idd","apd, bce, bme, cer, che, chy, civ, cse, dse, ece, eee, mat, mec, met, min, mst, phe, phy",2363000.0,1500000.0,2363000.0,1500000.0,Mumbai,INR,Software/Quant Developer,"['software engineer backend', 'software engineer frontend']","['apd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'dse', 'ece', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']","['btech', 'idd']",['Mumbai'],"['Nov', '15', '2024']",Nov,15,2024,20-30 LPA,20-30 LPA,10-20 LPA
Accenture,"Nov. 19, 2024, 1:17 p.m.",Analytics Advisory Analyst (CL11),0.0,idd,"apd, bce, bme, cer, che, chy, civ, cse, dse, ece, eee, mat, mec, met, min, mst, phe, phy",,,968000.0,800000.0,"Bangalore, Delhi, Mumbai",INR,Data Science/AI,['analytics advisory analyst (cl11)'],"['apd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'dse', 'ece', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']",['idd'],"['Bangalore', 'Delhi', 'Mumbai']","['Nov', '19', '2024']",Nov,19,2024,,,
Rhi Magnestia,"Nov. 21, 2024, 3:22 p.m.",Graduate Engineer Trainee,5.5,btech,"cer, mec, met",650000.0,600000.0,,,India,INR,Core_Engineering,['graduate engineer trainee'],"['cer', 'mec', 'met']",['btech'],['India'],"['Nov', '21', '2024']",Nov,21,2024,< 10 LPA,< 10 LPA,< 10 LPA
Larkai Healthcare,"Nov. 21, 2024, 5:47 p.m.",Cybersecurity and Blockchain Developer,0.0,"btech, idd","[['btech', 'cse', 'ece', 'eee', 'mec', 'phe'], ['idd', 'cse', 'eee']]",1200000.0,1000000.0,1200000.0,1000000.0,Gurugram,INR,Software/Quant Developer,['cybersecurity and blockchain developer'],"[""[['btech'"", ""'cse'"", ""'ece'"", ""'eee'"", ""'mec'"", ""'phe']"", ""['idd'"", ""'cse'"", ""'eee']]""]","['btech', 'idd']",['Gurugram'],"['Nov', '21', '2024']",Nov,21,2024,10-20 LPA,10-20 LPA,10-20 LPA
Gnani,"Nov. 21, 2024, 11:59 p.m.",AI Research Engineer,0.0,"btech, idd","cse, ece, eee, mat",1725000.0,1500000.0,1725000.0,1500000.0,Bangalore,INR,Data Science/AI,['ai research engineer'],"['cse', 'ece', 'eee', 'mat']","['btech', 'idd']",['Bangalore'],"['Nov', '21', '2024']",Nov,21,2024,10-20 LPA,10-20 LPA,10-20 LPA
Carborundum,"Nov. 24, 2024, 1:48 p.m.",Post Graduate Engineer Trainee,6.0,idd,cer,,,600000.0,600000.0,,INR,Core_Engineering,['post graduate engineer trainee'],['cer'],['idd'],[],"['Nov', '24', '2024']",Nov,24,2024,,,
Cashfree,"Nov. 25, 2024, 3:11 p.m.",Software Development Engineer 1,7.5,"btech, idd","apd, bce, bme, cer, che, chy, civ, cse, ece, eee, mat, mec, met, min, mst, phe, phy",2000000.0,1800000.0,2000000.0,1800000.0,,INR,Software/Quant Developer,['software development engineer 1'],"['apd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'ece', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']","['btech', 'idd']",[],"['Nov', '25', '2024']",Nov,25,2024,20-30 LPA,20-30 LPA,10-20 LPA
Baya Systems,"Nov. 26, 2024, 1:25 p.m.",ASIC hardware Engineer,7.0,"btech, idd","ece, eee",,,,,Bangalore,NAN,Core_Engineering,['asic hardware engineer'],"['ece', 'eee']","['btech', 'idd']",['Bangalore'],"['Nov', '26', '2024']",Nov,26,2024,,,
Svaya Robotics,"Nov. 26, 2024, 2:27 p.m.","Motion Planning, Control Engineering, Machine Vision",0.0,idd,"cse, ece, eee, mec, phy",800000.0,800000.0,1100000.0,800000.0,"Medchal, Hyderabad",INR,Core_Engineering,"['motion planning', 'control engineering', 'machine vision']","['cse', 'ece', 'eee', 'mec', 'phy']",['idd'],"['Medchal', 'Hyderabad']","['Nov', '26', '2024']",Nov,26,2024,< 10 LPA,< 10 LPA,< 10 LPA
Decimal Point Analytics,"Nov. 26, 2024, 2:31 p.m.",SDE,0.0,"btech, idd","che, civ, cse, ece, eee, mec",900000.0,810000.0,900000.0,810000.0,"Mumbai, Nashik, Gandhinagar",INR,Software/Quant Developer,['sde'],"['che', 'civ', 'cse', 'ece', 'eee', 'mec']","['btech', 'idd']","['Mumbai', 'Nashik', 'Gandhinagar']","['Nov', '26', '2024']",Nov,26,2024,< 10 LPA,< 10 LPA,< 10 LPA
Pentair Water India,"Nov. 26, 2024, 10:41 p.m.",Assistant Engineer Trainee,7.0,"btech, idd",mec,950000.0,850310.0,1050000.0,939816.0,Noida,INR,Core_Engineering,['assistant engineer trainee'],['mec'],"['btech', 'idd']",['Noida'],"['Nov', '26', '2024']",Nov,26,2024,< 10 LPA,< 10 LPA,< 10 LPA
Svaya Robotics,"Nov. 27, 2024, 12:17 a.m.","C++ Development, Fullstack, Frontend",0.0,"btech, idd","apd, bce, bme, cer, che, chy, civ, cse, dse, ece, eee, mat, mec, met, min, mst, phe, phy",800000.0,800000.0,1100000.0,800000.0,Hyderabad,INR,Software/Quant Developer,"['c++ development', 'fullstack', 'frontend']","['apd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'dse', 'ece', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']","['btech', 'idd']",['Hyderabad'],"['Nov', '27', '2024']",Nov,27,2024,< 10 LPA,< 10 LPA,< 10 LPA
Anz Bank,"Nov. 27, 2024, 12:18 a.m.",Graduate/Engineer,7.0,"btech, idd","apd, bce, bme, cer, che, chy, civ, cse, ece, eee, mat, mec, met, min, mst, phe, phy",1250000.0,1250000.0,1250000.0,1250000.0,Bengaluru,INR,Other,['graduate/engineer'],"['apd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'ece', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']","['btech', 'idd']",['Bengaluru'],"['Nov', '27', '2024']",Nov,27,2024,10-20 LPA,10-20 LPA,10-20 LPA
Pentair Water India,"Nov. 27, 2024, 11:50 a.m.","Associate Engineer, Trainee",7.0,"btech, idd","ece, eee",950000.0,850310.0,,,Noida,INR,Core_Engineering,"['associate engineer', 'trainee']","['ece', 'eee']","['btech', 'idd']",['Noida'],"['Nov', '27', '2024']",Nov,27,2024,< 10 LPA,< 10 LPA,< 10 LPA
Maven Magnets,"Nov. 27, 2024, 12:59 p.m.",Frontend Engineer,6.0,"btech, idd","apd, bce, bme, cer, che, chy, civ, cse, ece, eee, mat, mec, met, min, mst, phe, phy",1200000.0,1200000.0,1200000.0,1200000.0,,INR,Software/Quant Developer,['frontend engineer'],"['apd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'ece', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']","['btech', 'idd']",[],"['Nov', '27', '2024']",Nov,27,2024,10-20 LPA,10-20 LPA,10-20 LPA
Onix,"Nov. 27, 2024, 4:12 p.m.",Associate Member of Technical Staff / Member of Te,7.5,"btech, idd","apd, bce, bme, cer, che, chy, civ, cse, ece, eee, mat, mec, met, min, mst, phe, phy",1200000.0,1000000.0,1200000.0,1000000.0,Pune,INR,Software/Quant Developer,['associate member of technical staff / member of te'],"['apd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'ece', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']","['btech', 'idd']",['Pune'],"['Nov', '27', '2024']",Nov,27,2024,10-20 LPA,10-20 LPA,10-20 LPA
Fitjee,"Nov. 27, 2024, 7:35 p.m.",Faculty Position,0.0,"btech, idd","apd, bce, bme, cer, che, chy, civ, cse, dse, ece, eee, hss, mat, mec, met, min, mst, phe, phy",,,,,Anywhere in India or Abroad,See,Teaching/Academic,['faculty position'],"['apd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'dse', 'ece', 'eee', 'hss', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']","['btech', 'idd']",['Anywhere in India or Abroad'],"['Nov', '27', '2024']",Nov,27,2024,,,
Sahajanand Medical Technology Pvt Ltd,"Nov. 27, 2024, 9:53 p.m.",Process Engineer,6.5,idd,"ece, mec, met, mst",,,1215025.0,660000.0,Surat,INR,Core_Engineering,['process engineer'],"['ece', 'mec', 'met', 'mst']",['idd'],['Surat'],"['Nov', '27', '2024']",Nov,27,2024,,,
Gail,"Nov. 28, 2024, 3:29 p.m.",Executive Trainee (Electrical),6.0,btech,eee,2057112.0,2057112.0,,,,INR,Core_Engineering,['executive trainee (electrical)'],['eee'],['btech'],[],"['Nov', '28', '2024']",Nov,28,2024,20-30 LPA,20-30 LPA,20-30 LPA
Blitz,"Nov. 28, 2024, 4:10 p.m.",Software Development Engineer,6.5,"btech, idd","apd, bce, bme, cer, che, chy, civ, cse, ece, eee, mat, mec, met, min, mst, phe, phy",2500000.0,1700000.0,2500000.0,1700000.0,Bangalore,INR,Software/Quant Developer,['software development engineer'],"['apd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'ece', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']","['btech', 'idd']",['Bangalore'],"['Nov', '28', '2024']",Nov,28,2024,20-30 LPA,20-30 LPA,10-20 LPA
Switch Mobility,"Nov. 28, 2024, 4:33 p.m.",Engineer Trainee (Assistant/Deputy Manager),7.5,idd,"cse, eee, mec, met, mst",,,1000008.0,1000008.0,"Chennai, Delhi, Mumbai, Bengaluru",INR,Core_Engineering,['engineer trainee (assistant/deputy manager)'],"['cse', 'eee', 'mec', 'met', 'mst']",['idd'],"['Chennai', 'Delhi', 'Mumbai', 'Bengaluru']","['Nov', '28', '2024']",Nov,28,2024,,,
